MittausID;Pvm;Vuosi;Kuukausi;Tunti;Viikonpäivä;PP_1;PP_2;PP_YHT
94;30.06.2014;2014;06;00;Maanantai;1;0;1
94;30.06.2014;2014;06;01;Maanantai;1;0;1
94;30.06.2014;2014;06;02;Maanantai;0;0;0
94;30.06.2014;2014;06;03;Maanantai;0;0;0
94;30.06.2014;2014;06;04;Maanantai;0;0;0
94;30.06.2014;2014;06;05;Maanantai;4;0;4
94;30.06.2014;2014;06;06;Maanantai;16;4;20
94;30.06.2014;2014;06;07;Maanantai;30;3;33
94;30.06.2014;2014;06;08;Maanantai;13;5;18
94;30.06.2014;2014;06;09;Maanantai;7;8;15
94;30.06.2014;2014;06;10;Maanantai;10;2;12
94;30.06.2014;2014;06;11;Maanantai;4;3;7
94;30.06.2014;2014;06;12;Maanantai;9;5;14
94;30.06.2014;2014;06;13;Maanantai;11;6;17
94;30.06.2014;2014;06;14;Maanantai;4;11;15
94;30.06.2014;2014;06;15;Maanantai;4;18;22
94;30.06.2014;2014;06;16;Maanantai;10;37;47
94;30.06.2014;2014;06;17;Maanantai;7;19;26
94;30.06.2014;2014;06;18;Maanantai;11;10;21
94;30.06.2014;2014;06;19;Maanantai;14;18;32
94;30.06.2014;2014;06;20;Maanantai;4;7;11
94;30.06.2014;2014;06;21;Maanantai;6;7;13
94;30.06.2014;2014;06;22;Maanantai;5;11;16
94;30.06.2014;2014;06;23;Maanantai;1;2;3
94;01.07.2014;2014;07;00;Tiistai;0;0;0
94;01.07.2014;2014;07;01;Tiistai;0;0;0
94;01.07.2014;2014;07;02;Tiistai;0;0;0
94;01.07.2014;2014;07;03;Tiistai;0;0;0
94;01.07.2014;2014;07;04;Tiistai;1;0;1
94;01.07.2014;2014;07;05;Tiistai;5;1;6
94;01.07.2014;2014;07;06;Tiistai;24;4;28
94;01.07.2014;2014;07;07;Tiistai;35;5;40
94;01.07.2014;2014;07;08;Tiistai;11;4;15
94;01.07.2014;2014;07;09;Tiistai;10;7;17
94;01.07.2014;2014;07;10;Tiistai;12;6;18
94;01.07.2014;2014;07;11;Tiistai;9;15;24
94;01.07.2014;2014;07;12;Tiistai;28;13;41
94;01.07.2014;2014;07;13;Tiistai;17;11;28
94;01.07.2014;2014;07;14;Tiistai;12;18;30
94;01.07.2014;2014;07;15;Tiistai;14;42;56
94;01.07.2014;2014;07;16;Tiistai;18;41;59
94;01.07.2014;2014;07;17;Tiistai;17;22;39
94;01.07.2014;2014;07;18;Tiistai;11;19;30
94;01.07.2014;2014;07;19;Tiistai;17;13;30
94;01.07.2014;2014;07;20;Tiistai;9;13;22
94;01.07.2014;2014;07;21;Tiistai;7;10;17
94;01.07.2014;2014;07;22;Tiistai;3;5;8
94;01.07.2014;2014;07;23;Tiistai;1;2;3
94;02.07.2014;2014;07;00;Keskiviikko;4;3;7
94;02.07.2014;2014;07;01;Keskiviikko;1;0;1
94;02.07.2014;2014;07;02;Keskiviikko;0;0;0
94;02.07.2014;2014;07;03;Keskiviikko;0;1;1
94;02.07.2014;2014;07;04;Keskiviikko;0;3;3
94;02.07.2014;2014;07;05;Keskiviikko;5;2;7
94;02.07.2014;2014;07;06;Keskiviikko;12;1;13
94;02.07.2014;2014;07;07;Keskiviikko;19;4;23
94;02.07.2014;2014;07;08;Keskiviikko;10;4;14
94;02.07.2014;2014;07;09;Keskiviikko;5;2;7
94;02.07.2014;2014;07;10;Keskiviikko;1;1;2
94;02.07.2014;2014;07;11;Keskiviikko;2;0;2
94;02.07.2014;2014;07;12;Keskiviikko;2;4;6
94;02.07.2014;2014;07;13;Keskiviikko;2;3;5
94;02.07.2014;2014;07;14;Keskiviikko;2;3;5
94;02.07.2014;2014;07;15;Keskiviikko;0;9;9
94;02.07.2014;2014;07;16;Keskiviikko;3;13;16
94;02.07.2014;2014;07;17;Keskiviikko;6;8;14
94;02.07.2014;2014;07;18;Keskiviikko;1;2;3
94;02.07.2014;2014;07;19;Keskiviikko;1;2;3
94;02.07.2014;2014;07;20;Keskiviikko;2;7;9
94;02.07.2014;2014;07;21;Keskiviikko;2;7;9
94;02.07.2014;2014;07;22;Keskiviikko;0;0;0
94;02.07.2014;2014;07;23;Keskiviikko;1;0;1
94;03.07.2014;2014;07;00;Torstai;0;2;2
