MittausID;Pvm;Vuosi;Kuukausi;Tunti;Viikonpäivä;PP_1;PP_2;PP_YHT;JK_1;JK_2;JK_YHT
292;02.11.2015;2015;11;00;Maanantai;0;0;0;0;0;0
292;02.11.2015;2015;11;01;Maanantai;0;1;1;0;0;0
292;02.11.2015;2015;11;02;Maanantai;0;2;2;0;0;0
292;02.11.2015;2015;11;03;Maanantai;0;0;0;0;1;1
292;02.11.2015;2015;11;04;Maanantai;1;2;3;0;0;0
292;02.11.2015;2015;11;05;Maanantai;9;5;14;1;2;3
292;02.11.2015;2015;11;06;Maanantai;20;11;31;2;2;4
292;02.11.2015;2015;11;07;Maanantai;68;26;94;19;11;30
292;02.11.2015;2015;11;08;Maanantai;45;25;70;9;8;17
292;02.11.2015;2015;11;09;Maanantai;75;23;98;11;9;20
292;02.11.2015;2015;11;10;Maanantai;33;24;57;9;13;22
292;02.11.2015;2015;11;11;Maanantai;30;31;61;12;4;16
292;02.11.2015;2015;11;12;Maanantai;26;32;58;13;15;28
292;02.11.2015;2015;11;13;Maanantai;27;41;68;20;19;39
292;02.11.2015;2015;11;14;Maanantai;34;62;96;14;15;29
292;02.11.2015;2015;11;15;Maanantai;29;76;105;23;19;42
292;02.11.2015;2015;11;16;Maanantai;34;71;105;13;15;28
292;02.11.2015;2015;11;17;Maanantai;31;29;60;12;17;29
292;02.11.2015;2015;11;18;Maanantai;32;22;54;18;12;30
292;02.11.2015;2015;11;19;Maanantai;24;28;52;12;7;19
292;02.11.2015;2015;11;20;Maanantai;21;12;33;6;3;9
292;02.11.2015;2015;11;21;Maanantai;4;10;14;2;2;4
292;02.11.2015;2015;11;22;Maanantai;2;3;5;2;1;3
292;02.11.2015;2015;11;23;Maanantai;0;4;4;1;0;1
292;03.11.2015;2015;11;00;Tiistai;3;0;3;1;0;1
292;03.11.2015;2015;11;01;Tiistai;0;0;0;0;0;0
292;03.11.2015;2015;11;02;Tiistai;0;2;2;0;0;0
292;03.11.2015;2015;11;03;Tiistai;0;1;1;0;0;0
292;03.11.2015;2015;11;04;Tiistai;2;3;5;0;1;1
292;03.11.2015;2015;11;05;Tiistai;8;4;12;1;0;1
292;03.11.2015;2015;11;06;Tiistai;15;15;30;2;3;5
292;03.11.2015;2015;11;07;Tiistai;80;27;107;15;7;22
292;03.11.2015;2015;11;08;Tiistai;89;32;121;19;10;29
292;03.11.2015;2015;11;09;Tiistai;27;15;42;8;15;23
292;03.11.2015;2015;11;10;Tiistai;34;27;61;10;21;31
292;03.11.2015;2015;11;11;Tiistai;19;36;55;15;8;23
292;03.11.2015;2015;11;12;Tiistai;35;42;77;12;12;24
292;03.11.2015;2015;11;13;Tiistai;41;56;97;20;13;33
292;03.11.2015;2015;11;14;Tiistai;34;110;144;11;18;29
292;03.11.2015;2015;11;15;Tiistai;44;66;110;11;18;29
292;03.11.2015;2015;11;16;Tiistai;39;63;102;20;9;29
292;03.11.2015;2015;11;17;Tiistai;33;25;58;11;10;21
292;03.11.2015;2015;11;18;Tiistai;21;24;45;16;14;30
292;03.11.2015;2015;11;19;Tiistai;25;21;46;9;11;20
292;03.11.2015;2015;11;20;Tiistai;23;14;37;9;12;21
292;03.11.2015;2015;11;21;Tiistai;15;13;28;2;2;4
292;03.11.2015;2015;11;22;Tiistai;4;7;11;0;1;1
292;03.11.2015;2015;11;23;Tiistai;1;4;5;2;1;3
292;04.11.2015;2015;11;00;Keskiviikko;2;0;2;0;0;0
292;04.11.2015;2015;11;01;Keskiviikko;1;0;1;0;0;0
292;04.11.2015;2015;11;02;Keskiviikko;0;0;0;0;0;0
292;04.11.2015;2015;11;03;Keskiviikko;0;1;1;0;0;0
292;04.11.2015;2015;11;04;Keskiviikko;2;0;2;0;1;1
292;04.11.2015;2015;11;05;Keskiviikko;13;5;18;1;0;1
292;04.11.2015;2015;11;06;Keskiviikko;18;13;31;5;0;5
292;04.11.2015;2015;11;07;Keskiviikko;86;23;109;19;0;19
292;04.11.2015;2015;11;08;Keskiviikko;75;19;94;12;9;21
292;04.11.2015;2015;11;09;Keskiviikko;47;22;69;13;11;24
292;04.11.2015;2015;11;10;Keskiviikko;29;27;56;6;7;13
292;04.11.2015;2015;11;11;Keskiviikko;38;35;73;10;10;20
292;04.11.2015;2015;11;12;Keskiviikko;32;33;65;18;10;28
292;04.11.2015;2015;11;13;Keskiviikko;39;93;132;13;17;30
292;04.11.2015;2015;11;14;Keskiviikko;42;84;126;18;14;32
292;04.11.2015;2015;11;15;Keskiviikko;37;50;87;13;16;29
292;04.11.2015;2015;11;16;Keskiviikko;52;74;126;9;17;26
292;04.11.2015;2015;11;17;Keskiviikko;38;27;65;14;9;23
292;04.11.2015;2015;11;18;Keskiviikko;28;24;52;11;11;22
292;04.11.2015;2015;11;19;Keskiviikko;19;18;37;6;4;10
292;04.11.2015;2015;11;20;Keskiviikko;17;19;36;4;8;12
292;04.11.2015;2015;11;21;Keskiviikko;7;13;20;4;3;7
292;04.11.2015;2015;11;22;Keskiviikko;3;6;9;0;0;0
292;04.11.2015;2015;11;23;Keskiviikko;3;3;6;1;0;1
292;05.11.2015;2015;11;00;Torstai;1;3;4;1;2;3
292;05.11.2015;2015;11;01;Torstai;0;1;1;0;0;0
292;05.11.2015;2015;11;02;Torstai;0;0;0;0;0;0
292;05.11.2015;2015;11;03;Torstai;1;0;1;0;0;0
292;05.11.2015;2015;11;04;Torstai;1;0;1;1;0;1
292;05.11.2015;2015;11;05;Torstai;10;7;17;3;0;3
292;05.11.2015;2015;11;06;Torstai;17;14;31;1;4;5
292;05.11.2015;2015;11;07;Torstai;72;25;97;13;8;21
292;05.11.2015;2015;11;08;Torstai;58;27;85;16;8;24
292;05.11.2015;2015;11;09;Torstai;59;20;79;13;10;23
292;05.11.2015;2015;11;10;Torstai;24;20;44;8;6;14
292;05.11.2015;2015;11;11;Torstai;23;20;43;13;9;22
292;05.11.2015;2015;11;12;Torstai;23;35;58;7;10;17
292;05.11.2015;2015;11;13;Torstai;21;50;71;11;15;26
292;05.11.2015;2015;11;14;Torstai;42;44;86;25;11;36
292;05.11.2015;2015;11;15;Torstai;37;67;104;21;17;38
292;05.11.2015;2015;11;16;Torstai;34;75;109;15;13;28
292;05.11.2015;2015;11;17;Torstai;22;22;44;12;14;26
292;05.11.2015;2015;11;18;Torstai;28;23;51;7;23;30
292;05.11.2015;2015;11;19;Torstai;20;14;34;9;7;16
292;05.11.2015;2015;11;20;Torstai;14;19;33;8;9;17
292;05.11.2015;2015;11;21;Torstai;5;8;13;3;1;4
292;05.11.2015;2015;11;22;Torstai;6;9;15;2;1;3
292;05.11.2015;2015;11;23;Torstai;0;0;0;1;0;1
292;06.11.2015;2015;11;00;Perjantai;0;0;0;0;0;0
292;06.11.2015;2015;11;01;Perjantai;0;0;0;0;0;0
292;06.11.2015;2015;11;02;Perjantai;0;0;0;0;0;0
292;06.11.2015;2015;11;03;Perjantai;0;0;0;0;0;0
292;06.11.2015;2015;11;04;Perjantai;1;1;2;0;0;0
292;06.11.2015;2015;11;05;Perjantai;10;4;14;0;0;0
292;06.11.2015;2015;11;06;Perjantai;15;7;22;6;3;9
292;06.11.2015;2015;11;07;Perjantai;67;20;87;15;7;22
292;06.11.2015;2015;11;08;Perjantai;73;21;94;12;5;17
292;06.11.2015;2015;11;09;Perjantai;45;16;61;10;1;11
292;06.11.2015;2015;11;10;Perjantai;27;12;39;7;4;11
292;06.11.2015;2015;11;11;Perjantai;24;20;44;7;4;11
292;06.11.2015;2015;11;12;Perjantai;27;28;55;18;6;24
292;06.11.2015;2015;11;13;Perjantai;28;85;113;2;18;20
292;06.11.2015;2015;11;14;Perjantai;39;61;100;9;15;24
292;06.11.2015;2015;11;15;Perjantai;17;42;59;14;23;37
292;06.11.2015;2015;11;16;Perjantai;32;34;66;18;15;33
292;06.11.2015;2015;11;17;Perjantai;19;30;49;7;4;11
292;06.11.2015;2015;11;18;Perjantai;16;18;34;9;6;15
292;06.11.2015;2015;11;19;Perjantai;16;12;28;9;7;16
292;06.11.2015;2015;11;20;Perjantai;9;11;20;6;6;12
292;06.11.2015;2015;11;21;Perjantai;8;11;19;4;1;5
292;06.11.2015;2015;11;22;Perjantai;2;8;10;2;0;2
292;06.11.2015;2015;11;23;Perjantai;3;0;3;1;1;2
292;07.11.2015;2015;11;00;Lauantai;5;4;9;0;0;0
292;07.11.2015;2015;11;01;Lauantai;1;3;4;6;3;9
292;07.11.2015;2015;11;02;Lauantai;0;2;2;0;3;3
292;07.11.2015;2015;11;03;Lauantai;0;2;2;0;1;1
292;07.11.2015;2015;11;04;Lauantai;0;0;0;0;0;0
292;07.11.2015;2015;11;05;Lauantai;0;0;0;0;0;0
292;07.11.2015;2015;11;06;Lauantai;4;1;5;3;1;4
292;07.11.2015;2015;11;07;Lauantai;3;2;5;2;3;5
292;07.11.2015;2015;11;08;Lauantai;1;4;5;4;4;8
292;07.11.2015;2015;11;09;Lauantai;6;8;14;7;7;14
292;07.11.2015;2015;11;10;Lauantai;11;8;19;5;4;9
292;07.11.2015;2015;11;11;Lauantai;14;15;29;11;6;17
292;07.11.2015;2015;11;12;Lauantai;20;19;39;7;10;17
292;07.11.2015;2015;11;13;Lauantai;23;12;35;5;8;13
292;07.11.2015;2015;11;14;Lauantai;33;21;54;10;11;21
292;07.11.2015;2015;11;15;Lauantai;13;21;34;14;9;23
292;07.11.2015;2015;11;16;Lauantai;29;7;36;19;3;22
292;07.11.2015;2015;11;17;Lauantai;21;17;38;6;9;15
292;07.11.2015;2015;11;18;Lauantai;4;6;10;5;9;14
292;07.11.2015;2015;11;19;Lauantai;10;10;20;7;5;12
292;07.11.2015;2015;11;20;Lauantai;11;7;18;2;5;7
292;07.11.2015;2015;11;21;Lauantai;9;9;18;3;8;11
292;07.11.2015;2015;11;22;Lauantai;1;2;3;3;1;4
292;07.11.2015;2015;11;23;Lauantai;6;2;8;3;4;7
292;08.11.2015;2015;11;00;Sunnuntai;0;3;3;1;2;3
292;08.11.2015;2015;11;01;Sunnuntai;0;1;1;0;0;0
292;08.11.2015;2015;11;02;Sunnuntai;0;0;0;1;6;7
292;08.11.2015;2015;11;03;Sunnuntai;0;1;1;0;0;0
292;08.11.2015;2015;11;04;Sunnuntai;2;0;2;1;0;1
292;08.11.2015;2015;11;05;Sunnuntai;1;0;1;0;1;1
292;08.11.2015;2015;11;06;Sunnuntai;4;2;6;1;0;1
292;08.11.2015;2015;11;07;Sunnuntai;0;3;3;2;1;3
292;08.11.2015;2015;11;08;Sunnuntai;2;4;6;0;1;1
292;08.11.2015;2015;11;09;Sunnuntai;10;7;17;11;11;22
292;08.11.2015;2015;11;10;Sunnuntai;8;10;18;17;11;28
292;08.11.2015;2015;11;11;Sunnuntai;19;17;36;14;18;32
292;08.11.2015;2015;11;12;Sunnuntai;19;18;37;15;13;28
292;08.11.2015;2015;11;13;Sunnuntai;18;13;31;8;11;19
292;08.11.2015;2015;11;14;Sunnuntai;15;18;33;14;16;30
292;08.11.2015;2015;11;15;Sunnuntai;23;10;33;13;7;20
292;08.11.2015;2015;11;16;Sunnuntai;14;19;33;7;12;19
292;08.11.2015;2015;11;17;Sunnuntai;12;20;32;6;4;10
292;08.11.2015;2015;11;18;Sunnuntai;15;16;31;4;6;10
292;08.11.2015;2015;11;19;Sunnuntai;15;9;24;14;6;20
292;08.11.2015;2015;11;20;Sunnuntai;12;8;20;4;7;11
292;08.11.2015;2015;11;21;Sunnuntai;4;7;11;1;1;2
292;08.11.2015;2015;11;22;Sunnuntai;2;1;3;0;0;0
292;08.11.2015;2015;11;23;Sunnuntai;0;2;2;0;0;0
292;09.11.2015;2015;11;00;Maanantai;0;0;0;0;1;1
292;09.11.2015;2015;11;01;Maanantai;0;0;0;0;0;0
292;09.11.2015;2015;11;02;Maanantai;0;1;1;0;1;1
292;09.11.2015;2015;11;03;Maanantai;0;0;0;1;0;1
292;09.11.2015;2015;11;04;Maanantai;2;2;4;0;1;1
292;09.11.2015;2015;11;05;Maanantai;5;5;10;3;0;3
292;09.11.2015;2015;11;06;Maanantai;20;16;36;2;3;5
292;09.11.2015;2015;11;07;Maanantai;73;26;99;13;7;20
292;09.11.2015;2015;11;08;Maanantai;51;20;71;9;7;16
292;09.11.2015;2015;11;09;Maanantai;61;13;74;15;5;20
292;09.11.2015;2015;11;10;Maanantai;19;18;37;9;2;11
292;09.11.2015;2015;11;11;Maanantai;31;23;54;5;4;9
292;09.11.2015;2015;11;12;Maanantai;23;26;49;11;4;15
292;09.11.2015;2015;11;13;Maanantai;32;54;86;7;8;15
292;09.11.2015;2015;11;14;Maanantai;38;70;108;13;15;28
292;09.11.2015;2015;11;15;Maanantai;39;63;102;16;19;35
292;09.11.2015;2015;11;16;Maanantai;41;68;109;9;8;17
292;09.11.2015;2015;11;17;Maanantai;36;30;66;10;13;23
292;09.11.2015;2015;11;18;Maanantai;33;23;56;15;21;36
292;09.11.2015;2015;11;19;Maanantai;29;27;56;7;11;18
292;09.11.2015;2015;11;20;Maanantai;23;28;51;10;6;16
292;09.11.2015;2015;11;21;Maanantai;10;15;25;2;2;4
292;09.11.2015;2015;11;22;Maanantai;9;6;15;1;1;2
292;09.11.2015;2015;11;23;Maanantai;0;3;3;0;1;1
292;10.11.2015;2015;11;00;Tiistai;4;1;5;0;0;0
292;10.11.2015;2015;11;01;Tiistai;0;0;0;0;1;1
292;10.11.2015;2015;11;02;Tiistai;1;1;2;0;0;0
292;10.11.2015;2015;11;03;Tiistai;0;1;1;0;0;0
292;10.11.2015;2015;11;04;Tiistai;1;0;1;0;0;0
292;10.11.2015;2015;11;05;Tiistai;8;1;9;1;1;2
292;10.11.2015;2015;11;06;Tiistai;21;10;31;2;2;4
292;10.11.2015;2015;11;07;Tiistai;56;25;81;10;6;16
292;10.11.2015;2015;11;08;Tiistai;58;14;72;14;10;24
292;10.11.2015;2015;11;09;Tiistai;19;8;27;4;3;7
292;10.11.2015;2015;11;10;Tiistai;19;13;32;3;4;7
292;10.11.2015;2015;11;11;Tiistai;6;20;26;6;3;9
292;10.11.2015;2015;11;12;Tiistai;14;8;22;4;11;15
292;10.11.2015;2015;11;13;Tiistai;18;28;46;10;1;11
292;10.11.2015;2015;11;14;Tiistai;29;76;105;5;7;12
292;10.11.2015;2015;11;15;Tiistai;18;35;53;8;6;14
292;10.11.2015;2015;11;16;Tiistai;23;26;49;5;8;13
292;10.11.2015;2015;11;17;Tiistai;22;13;35;6;9;15
292;10.11.2015;2015;11;18;Tiistai;21;14;35;5;7;12
292;10.11.2015;2015;11;19;Tiistai;15;12;27;6;8;14
292;10.11.2015;2015;11;20;Tiistai;12;15;27;15;7;22
292;10.11.2015;2015;11;21;Tiistai;8;5;13;2;0;2
292;10.11.2015;2015;11;22;Tiistai;3;6;9;1;1;2
292;10.11.2015;2015;11;23;Tiistai;0;0;0;1;0;1
292;11.11.2015;2015;11;00;Keskiviikko;0;0;0;0;1;1
292;11.11.2015;2015;11;01;Keskiviikko;0;0;0;0;1;1
292;11.11.2015;2015;11;02;Keskiviikko;0;2;2;0;0;0
292;11.11.2015;2015;11;03;Keskiviikko;0;0;0;0;0;0
292;11.11.2015;2015;11;04;Keskiviikko;1;1;2;0;0;0
292;11.11.2015;2015;11;05;Keskiviikko;5;4;9;1;0;1
292;11.11.2015;2015;11;06;Keskiviikko;20;15;35;3;3;6
292;11.11.2015;2015;11;07;Keskiviikko;74;21;95;19;6;25
292;11.11.2015;2015;11;08;Keskiviikko;68;10;78;15;8;23
292;11.11.2015;2015;11;09;Keskiviikko;26;21;47;6;6;12
292;11.11.2015;2015;11;10;Keskiviikko;18;26;44;7;12;19
292;11.11.2015;2015;11;11;Keskiviikko;27;21;48;11;7;18
292;11.11.2015;2015;11;12;Keskiviikko;25;27;52;12;8;20
292;11.11.2015;2015;11;13;Keskiviikko;31;71;102;14;14;28
292;11.11.2015;2015;11;14;Keskiviikko;40;49;89;12;13;25
292;11.11.2015;2015;11;15;Keskiviikko;37;52;89;18;10;28
292;11.11.2015;2015;11;16;Keskiviikko;36;60;96;8;14;22
292;11.11.2015;2015;11;17;Keskiviikko;35;24;59;12;14;26
292;11.11.2015;2015;11;18;Keskiviikko;23;27;50;16;9;25
292;11.11.2015;2015;11;19;Keskiviikko;22;20;42;10;8;18
292;11.11.2015;2015;11;20;Keskiviikko;17;13;30;4;5;9
292;11.11.2015;2015;11;21;Keskiviikko;6;6;12;4;4;8
292;11.11.2015;2015;11;22;Keskiviikko;1;5;6;2;0;2
292;11.11.2015;2015;11;23;Keskiviikko;3;1;4;1;1;2
292;12.11.2015;2015;11;00;Torstai;2;0;2;0;2;2
292;12.11.2015;2015;11;01;Torstai;0;0;0;0;0;0
292;12.11.2015;2015;11;02;Torstai;0;0;0;0;0;0
292;12.11.2015;2015;11;03;Torstai;1;0;1;0;0;0
292;12.11.2015;2015;11;04;Torstai;3;0;3;0;0;0
292;12.11.2015;2015;11;05;Torstai;9;5;14;0;1;1
292;12.11.2015;2015;11;06;Torstai;22;13;35;1;2;3
292;12.11.2015;2015;11;07;Torstai;57;20;77;9;6;15
292;12.11.2015;2015;11;08;Torstai;41;21;62;12;9;21
292;12.11.2015;2015;11;09;Torstai;53;15;68;5;11;16
292;12.11.2015;2015;11;10;Torstai;23;9;32;3;2;5
292;12.11.2015;2015;11;11;Torstai;20;14;34;7;4;11
292;12.11.2015;2015;11;12;Torstai;17;19;36;7;2;9
292;12.11.2015;2015;11;13;Torstai;24;49;73;13;6;19
292;12.11.2015;2015;11;14;Torstai;34;38;72;10;14;24
292;12.11.2015;2015;11;15;Torstai;33;68;101;15;12;27
292;12.11.2015;2015;11;16;Torstai;32;57;89;3;18;21
292;12.11.2015;2015;11;17;Torstai;16;20;36;7;7;14
292;12.11.2015;2015;11;18;Torstai;16;20;36;4;11;15
292;12.11.2015;2015;11;19;Torstai;16;14;30;6;3;9
292;12.11.2015;2015;11;20;Torstai;17;14;31;0;3;3
292;12.11.2015;2015;11;21;Torstai;8;6;14;3;3;6
292;12.11.2015;2015;11;22;Torstai;5;2;7;2;1;3
292;12.11.2015;2015;11;23;Torstai;1;0;1;0;1;1
292;13.11.2015;2015;11;00;Perjantai;3;1;4;0;0;0
292;13.11.2015;2015;11;01;Perjantai;0;1;1;0;0;0
292;13.11.2015;2015;11;02;Perjantai;0;0;0;0;0;0
292;13.11.2015;2015;11;03;Perjantai;0;0;0;0;0;0
292;13.11.2015;2015;11;04;Perjantai;1;0;1;0;0;0
292;13.11.2015;2015;11;05;Perjantai;9;7;16;1;1;2
292;13.11.2015;2015;11;06;Perjantai;16;7;23;0;2;2
292;13.11.2015;2015;11;07;Perjantai;48;28;76;19;8;27
292;13.11.2015;2015;11;08;Perjantai;59;12;71;23;10;33
292;13.11.2015;2015;11;09;Perjantai;42;20;62;20;9;29
292;13.11.2015;2015;11;10;Perjantai;21;17;38;6;17;23
292;13.11.2015;2015;11;11;Perjantai;22;22;44;11;14;25
292;13.11.2015;2015;11;12;Perjantai;41;37;78;21;12;33
292;13.11.2015;2015;11;13;Perjantai;26;80;106;10;20;30
292;13.11.2015;2015;11;14;Perjantai;33;71;104;9;14;23
292;13.11.2015;2015;11;15;Perjantai;27;55;82;15;22;37
292;13.11.2015;2015;11;16;Perjantai;31;49;80;18;14;32
292;13.11.2015;2015;11;17;Perjantai;30;36;66;14;15;29
292;13.11.2015;2015;11;18;Perjantai;31;29;60;7;10;17
292;13.11.2015;2015;11;19;Perjantai;39;21;60;6;9;15
292;13.11.2015;2015;11;20;Perjantai;31;6;37;11;3;14
292;13.11.2015;2015;11;21;Perjantai;14;6;20;4;5;9
292;13.11.2015;2015;11;22;Perjantai;6;7;13;2;2;4
292;13.11.2015;2015;11;23;Perjantai;7;4;11;10;0;10
292;14.11.2015;2015;11;00;Lauantai;2;2;4;1;2;3
292;14.11.2015;2015;11;01;Lauantai;5;7;12;1;2;3
