MittausID;Pvm;Vuosi;Kuukausi;Tunti;Viikonpäivä;PP_1;PP_2;PP_YHT
624;02.01.2017;2017;01;00;Maanantai;0;0;0
624;02.01.2017;2017;01;01;Maanantai;0;1;1
624;02.01.2017;2017;01;02;Maanantai;0;2;2
624;02.01.2017;2017;01;03;Maanantai;0;0;0
624;02.01.2017;2017;01;04;Maanantai;0;0;0
624;02.01.2017;2017;01;05;Maanantai;0;0;0
624;02.01.2017;2017;01;06;Maanantai;2;3;5
624;02.01.2017;2017;01;07;Maanantai;8;5;13
624;02.01.2017;2017;01;08;Maanantai;4;24;28
624;02.01.2017;2017;01;09;Maanantai;6;23;29
624;02.01.2017;2017;01;10;Maanantai;2;10;12
624;02.01.2017;2017;01;11;Maanantai;6;12;18
624;02.01.2017;2017;01;12;Maanantai;6;7;13
624;02.01.2017;2017;01;13;Maanantai;13;13;26
624;02.01.2017;2017;01;14;Maanantai;4;4;8
624;02.01.2017;2017;01;15;Maanantai;11;6;17
624;02.01.2017;2017;01;16;Maanantai;16;6;22
624;02.01.2017;2017;01;17;Maanantai;33;18;51
624;02.01.2017;2017;01;18;Maanantai;23;6;29
624;02.01.2017;2017;01;19;Maanantai;15;7;22
624;02.01.2017;2017;01;20;Maanantai;5;3;8
624;02.01.2017;2017;01;21;Maanantai;6;3;9
624;02.01.2017;2017;01;22;Maanantai;5;2;7
624;02.01.2017;2017;01;23;Maanantai;3;1;4
624;03.01.2017;2017;01;00;Tiistai;1;0;1
624;03.01.2017;2017;01;01;Tiistai;0;0;0
624;03.01.2017;2017;01;02;Tiistai;1;0;1
624;03.01.2017;2017;01;03;Tiistai;1;0;1
624;03.01.2017;2017;01;04;Tiistai;0;0;0
624;03.01.2017;2017;01;05;Tiistai;1;0;1
624;03.01.2017;2017;01;06;Tiistai;3;5;8
624;03.01.2017;2017;01;07;Tiistai;5;8;13
624;03.01.2017;2017;01;08;Tiistai;5;20;25
624;03.01.2017;2017;01;09;Tiistai;2;12;14
624;03.01.2017;2017;01;10;Tiistai;2;5;7
624;03.01.2017;2017;01;11;Tiistai;7;12;19
624;03.01.2017;2017;01;12;Tiistai;6;9;15
624;03.01.2017;2017;01;13;Tiistai;5;9;14
624;03.01.2017;2017;01;14;Tiistai;5;6;11
624;03.01.2017;2017;01;15;Tiistai;6;8;14
624;03.01.2017;2017;01;16;Tiistai;9;10;19
624;03.01.2017;2017;01;17;Tiistai;29;15;44
624;03.01.2017;2017;01;18;Tiistai;11;3;14
624;03.01.2017;2017;01;19;Tiistai;9;5;14
624;03.01.2017;2017;01;20;Tiistai;6;8;14
624;03.01.2017;2017;01;21;Tiistai;9;3;12
624;03.01.2017;2017;01;22;Tiistai;5;2;7
624;03.01.2017;2017;01;23;Tiistai;4;3;7
624;04.01.2017;2017;01;00;Keskiviikko;1;0;1
624;04.01.2017;2017;01;01;Keskiviikko;0;2;2
624;04.01.2017;2017;01;02;Keskiviikko;0;0;0
624;04.01.2017;2017;01;03;Keskiviikko;0;0;0
624;04.01.2017;2017;01;04;Keskiviikko;3;0;3
624;04.01.2017;2017;01;05;Keskiviikko;1;1;2
624;04.01.2017;2017;01;06;Keskiviikko;2;4;6
624;04.01.2017;2017;01;07;Keskiviikko;3;3;6
624;04.01.2017;2017;01;08;Keskiviikko;1;11;12
624;04.01.2017;2017;01;09;Keskiviikko;8;4;12
624;04.01.2017;2017;01;10;Keskiviikko;2;9;11
624;04.01.2017;2017;01;11;Keskiviikko;3;7;10
624;04.01.2017;2017;01;12;Keskiviikko;3;2;5
624;04.01.2017;2017;01;13;Keskiviikko;3;4;7
624;04.01.2017;2017;01;14;Keskiviikko;3;3;6
624;04.01.2017;2017;01;15;Keskiviikko;5;4;9
624;04.01.2017;2017;01;16;Keskiviikko;10;8;18
