MittausID;Pvm;Vuosi;Kuukausi;Tunti;Viikonpäivä;PP_1;PP_2;PP_YHT
95;30.06.2014;2014;06;00;Maanantai;0;1;1
95;30.06.2014;2014;06;01;Maanantai;0;0;0
95;30.06.2014;2014;06;02;Maanantai;0;0;0
95;30.06.2014;2014;06;03;Maanantai;1;1;2
95;30.06.2014;2014;06;04;Maanantai;3;1;4
95;30.06.2014;2014;06;05;Maanantai;7;2;9
95;30.06.2014;2014;06;06;Maanantai;23;15;38
95;30.06.2014;2014;06;07;Maanantai;30;14;44
95;30.06.2014;2014;06;08;Maanantai;18;6;24
95;30.06.2014;2014;06;09;Maanantai;15;9;24
95;30.06.2014;2014;06;10;Maanantai;12;16;28
95;30.06.2014;2014;06;11;Maanantai;16;10;26
95;30.06.2014;2014;06;12;Maanantai;20;16;36
95;30.06.2014;2014;06;13;Maanantai;13;13;26
95;30.06.2014;2014;06;14;Maanantai;11;15;26
95;30.06.2014;2014;06;15;Maanantai;26;23;49
95;30.06.2014;2014;06;16;Maanantai;27;37;64
95;30.06.2014;2014;06;17;Maanantai;14;20;34
95;30.06.2014;2014;06;18;Maanantai;29;18;47
95;30.06.2014;2014;06;19;Maanantai;13;16;29
95;30.06.2014;2014;06;20;Maanantai;7;13;20
95;30.06.2014;2014;06;21;Maanantai;11;10;21
95;30.06.2014;2014;06;22;Maanantai;4;4;8
95;30.06.2014;2014;06;23;Maanantai;0;5;5
95;01.07.2014;2014;07;00;Tiistai;0;0;0
95;01.07.2014;2014;07;01;Tiistai;0;0;0
95;01.07.2014;2014;07;02;Tiistai;0;0;0
95;01.07.2014;2014;07;03;Tiistai;1;0;1
95;01.07.2014;2014;07;04;Tiistai;2;0;2
95;01.07.2014;2014;07;05;Tiistai;15;6;21
95;01.07.2014;2014;07;06;Tiistai;27;12;39
95;01.07.2014;2014;07;07;Tiistai;35;26;61
95;01.07.2014;2014;07;08;Tiistai;26;12;38
95;01.07.2014;2014;07;09;Tiistai;13;14;27
95;01.07.2014;2014;07;10;Tiistai;22;14;36
95;01.07.2014;2014;07;11;Tiistai;30;23;53
95;01.07.2014;2014;07;12;Tiistai;15;16;31
95;01.07.2014;2014;07;13;Tiistai;24;28;52
95;01.07.2014;2014;07;14;Tiistai;31;20;51
95;01.07.2014;2014;07;15;Tiistai;42;41;83
95;01.07.2014;2014;07;16;Tiistai;30;59;89
95;01.07.2014;2014;07;17;Tiistai;26;46;72
95;01.07.2014;2014;07;18;Tiistai;27;35;62
95;01.07.2014;2014;07;19;Tiistai;29;35;64
95;01.07.2014;2014;07;20;Tiistai;18;31;49
95;01.07.2014;2014;07;21;Tiistai;7;5;12
95;01.07.2014;2014;07;22;Tiistai;2;2;4
95;01.07.2014;2014;07;23;Tiistai;2;3;5
95;02.07.2014;2014;07;00;Keskiviikko;0;1;1
95;02.07.2014;2014;07;01;Keskiviikko;0;1;1
95;02.07.2014;2014;07;02;Keskiviikko;0;0;0
95;02.07.2014;2014;07;03;Keskiviikko;1;1;2
95;02.07.2014;2014;07;04;Keskiviikko;2;0;2
95;02.07.2014;2014;07;05;Keskiviikko;8;5;13
95;02.07.2014;2014;07;06;Keskiviikko;15;12;27
95;02.07.2014;2014;07;07;Keskiviikko;18;13;31
95;02.07.2014;2014;07;08;Keskiviikko;6;5;11
95;02.07.2014;2014;07;09;Keskiviikko;2;1;3
95;02.07.2014;2014;07;10;Keskiviikko;1;2;3
95;02.07.2014;2014;07;11;Keskiviikko;1;3;4
95;02.07.2014;2014;07;12;Keskiviikko;5;1;6
95;02.07.2014;2014;07;13;Keskiviikko;2;1;3
95;02.07.2014;2014;07;14;Keskiviikko;3;1;4
95;02.07.2014;2014;07;15;Keskiviikko;4;9;13
95;02.07.2014;2014;07;16;Keskiviikko;13;13;26
95;02.07.2014;2014;07;17;Keskiviikko;2;4;6
95;02.07.2014;2014;07;18;Keskiviikko;5;5;10
95;02.07.2014;2014;07;19;Keskiviikko;4;12;16
95;02.07.2014;2014;07;20;Keskiviikko;6;8;14
95;02.07.2014;2014;07;21;Keskiviikko;6;6;12
95;02.07.2014;2014;07;22;Keskiviikko;2;4;6
95;02.07.2014;2014;07;23;Keskiviikko;0;1;1
95;03.07.2014;2014;07;00;Torstai;0;0;0
95;03.07.2014;2014;07;01;Torstai;0;0;0
95;03.07.2014;2014;07;02;Torstai;1;0;1
95;03.07.2014;2014;07;03;Torstai;0;0;0
95;03.07.2014;2014;07;04;Torstai;1;0;1
95;03.07.2014;2014;07;05;Torstai;7;2;9
95;03.07.2014;2014;07;06;Torstai;16;11;27
95;03.07.2014;2014;07;07;Torstai;13;15;28
95;03.07.2014;2014;07;08;Torstai;14;6;20
95;03.07.2014;2014;07;09;Torstai;6;14;20
95;03.07.2014;2014;07;10;Torstai;3;3;6
95;03.07.2014;2014;07;11;Torstai;5;4;9
95;03.07.2014;2014;07;12;Torstai;11;7;18
95;03.07.2014;2014;07;13;Torstai;11;3;14
95;03.07.2014;2014;07;14;Torstai;19;11;30
95;03.07.2014;2014;07;15;Torstai;12;19;31
95;03.07.2014;2014;07;16;Torstai;19;14;33
95;03.07.2014;2014;07;17;Torstai;8;22;30
95;03.07.2014;2014;07;18;Torstai;5;19;24
95;03.07.2014;2014;07;19;Torstai;14;8;22
95;03.07.2014;2014;07;20;Torstai;17;20;37
95;03.07.2014;2014;07;21;Torstai;6;7;13
95;03.07.2014;2014;07;22;Torstai;3;1;4
95;03.07.2014;2014;07;23;Torstai;1;2;3
95;04.07.2014;2014;07;00;Perjantai;0;0;0
95;04.07.2014;2014;07;01;Perjantai;0;0;0
95;04.07.2014;2014;07;02;Perjantai;0;2;2
95;04.07.2014;2014;07;03;Perjantai;1;0;1
95;04.07.2014;2014;07;04;Perjantai;1;0;1
95;04.07.2014;2014;07;05;Perjantai;8;3;11
95;04.07.2014;2014;07;06;Perjantai;10;9;19
