MittausID;Pvm;Vuosi;Kuukausi;Tunti;Viikonpäivä;PP_1;PP_2;PP_YHT
93;30.06.2014;2014;06;00;Maanantai;2;0;2
93;30.06.2014;2014;06;01;Maanantai;1;0;1
93;30.06.2014;2014;06;02;Maanantai;0;0;0
93;30.06.2014;2014;06;03;Maanantai;0;0;0
93;30.06.2014;2014;06;04;Maanantai;4;2;6
93;30.06.2014;2014;06;05;Maanantai;5;8;13
93;30.06.2014;2014;06;06;Maanantai;15;12;27
93;30.06.2014;2014;06;07;Maanantai;28;19;47
93;30.06.2014;2014;06;08;Maanantai;20;16;36
93;30.06.2014;2014;06;09;Maanantai;10;15;25
93;30.06.2014;2014;06;10;Maanantai;21;16;37
93;30.06.2014;2014;06;11;Maanantai;21;18;39
93;30.06.2014;2014;06;12;Maanantai;20;24;44
93;30.06.2014;2014;06;13;Maanantai;17;15;32
93;30.06.2014;2014;06;14;Maanantai;13;14;27
93;30.06.2014;2014;06;15;Maanantai;20;19;39
93;30.06.2014;2014;06;16;Maanantai;24;37;61
93;30.06.2014;2014;06;17;Maanantai;19;23;42
93;30.06.2014;2014;06;18;Maanantai;13;22;35
93;30.06.2014;2014;06;19;Maanantai;8;11;19
93;30.06.2014;2014;06;20;Maanantai;6;11;17
93;30.06.2014;2014;06;21;Maanantai;10;12;22
93;30.06.2014;2014;06;22;Maanantai;2;4;6
93;30.06.2014;2014;06;23;Maanantai;1;1;2
93;01.07.2014;2014;07;00;Tiistai;0;3;3
93;01.07.2014;2014;07;01;Tiistai;1;0;1
93;01.07.2014;2014;07;02;Tiistai;0;1;1
93;01.07.2014;2014;07;03;Tiistai;0;0;0
93;01.07.2014;2014;07;04;Tiistai;1;0;1
93;01.07.2014;2014;07;05;Tiistai;4;5;9
93;01.07.2014;2014;07;06;Tiistai;24;13;37
93;01.07.2014;2014;07;07;Tiistai;33;24;57
93;01.07.2014;2014;07;08;Tiistai;27;21;48
93;01.07.2014;2014;07;09;Tiistai;12;12;24
93;01.07.2014;2014;07;10;Tiistai;9;14;23
93;01.07.2014;2014;07;11;Tiistai;31;25;56
93;01.07.2014;2014;07;12;Tiistai;23;31;54
93;01.07.2014;2014;07;13;Tiistai;24;36;60
93;01.07.2014;2014;07;14;Tiistai;23;29;52
93;01.07.2014;2014;07;15;Tiistai;36;44;80
93;01.07.2014;2014;07;16;Tiistai;52;58;110
93;01.07.2014;2014;07;17;Tiistai;35;42;77
93;01.07.2014;2014;07;18;Tiistai;40;44;84
93;01.07.2014;2014;07;19;Tiistai;34;34;68
93;01.07.2014;2014;07;20;Tiistai;27;23;50
93;01.07.2014;2014;07;21;Tiistai;7;21;28
93;01.07.2014;2014;07;22;Tiistai;4;15;19
93;01.07.2014;2014;07;23;Tiistai;10;1;11
