MittausID;Pvm;Vuosi;Kuukausi;Tunti;Viikonpäivä;PP_1;PP_2;PP_YHT
623;02.01.2017;2017;01;00;Maanantai;5;2;7
623;02.01.2017;2017;01;01;Maanantai;5;1;6
623;02.01.2017;2017;01;02;Maanantai;1;1;2
623;02.01.2017;2017;01;03;Maanantai;0;1;1
623;02.01.2017;2017;01;04;Maanantai;0;2;2
623;02.01.2017;2017;01;05;Maanantai;0;4;4
623;02.01.2017;2017;01;06;Maanantai;2;3;5
623;02.01.2017;2017;01;07;Maanantai;3;18;21
623;02.01.2017;2017;01;08;Maanantai;13;55;68
623;02.01.2017;2017;01;09;Maanantai;17;38;55
623;02.01.2017;2017;01;10;Maanantai;8;13;21
623;02.01.2017;2017;01;11;Maanantai;14;10;24
623;02.01.2017;2017;01;12;Maanantai;12;13;25
623;02.01.2017;2017;01;13;Maanantai;15;12;27
623;02.01.2017;2017;01;14;Maanantai;17;13;30
623;02.01.2017;2017;01;15;Maanantai;16;11;27
623;02.01.2017;2017;01;16;Maanantai;36;13;49
623;02.01.2017;2017;01;17;Maanantai;46;24;70
623;02.01.2017;2017;01;18;Maanantai;28;23;51
623;02.01.2017;2017;01;19;Maanantai;16;7;23
623;02.01.2017;2017;01;20;Maanantai;10;7;17
623;02.01.2017;2017;01;21;Maanantai;9;10;19
623;02.01.2017;2017;01;22;Maanantai;10;7;17
623;02.01.2017;2017;01;23;Maanantai;10;3;13
623;03.01.2017;2017;01;00;Tiistai;5;3;8
623;03.01.2017;2017;01;01;Tiistai;1;2;3
623;03.01.2017;2017;01;02;Tiistai;2;0;2
623;03.01.2017;2017;01;03;Tiistai;2;2;4
623;03.01.2017;2017;01;04;Tiistai;1;2;3
623;03.01.2017;2017;01;05;Tiistai;1;5;6
623;03.01.2017;2017;01;06;Tiistai;1;2;3
623;03.01.2017;2017;01;07;Tiistai;4;23;27
623;03.01.2017;2017;01;08;Tiistai;12;41;53
623;03.01.2017;2017;01;09;Tiistai;7;36;43
623;03.01.2017;2017;01;10;Tiistai;12;4;16
623;03.01.2017;2017;01;11;Tiistai;6;7;13
623;03.01.2017;2017;01;12;Tiistai;5;10;15
623;03.01.2017;2017;01;13;Tiistai;13;11;24
623;03.01.2017;2017;01;14;Tiistai;9;17;26
623;03.01.2017;2017;01;15;Tiistai;18;11;29
623;03.01.2017;2017;01;16;Tiistai;39;7;46
623;03.01.2017;2017;01;17;Tiistai;42;18;60
623;03.01.2017;2017;01;18;Tiistai;31;16;47
623;03.01.2017;2017;01;19;Tiistai;17;6;23
623;03.01.2017;2017;01;20;Tiistai;6;11;17
623;03.01.2017;2017;01;21;Tiistai;9;10;19
623;03.01.2017;2017;01;22;Tiistai;5;6;11
623;03.01.2017;2017;01;23;Tiistai;8;5;13
623;04.01.2017;2017;01;00;Keskiviikko;4;1;5
623;04.01.2017;2017;01;01;Keskiviikko;3;0;3
623;04.01.2017;2017;01;02;Keskiviikko;0;0;0
623;04.01.2017;2017;01;03;Keskiviikko;1;0;1
623;04.01.2017;2017;01;04;Keskiviikko;3;2;5
623;04.01.2017;2017;01;05;Keskiviikko;0;0;0
623;04.01.2017;2017;01;06;Keskiviikko;0;4;4
623;04.01.2017;2017;01;07;Keskiviikko;4;19;23
623;04.01.2017;2017;01;08;Keskiviikko;7;29;36
623;04.01.2017;2017;01;09;Keskiviikko;9;16;25
623;04.01.2017;2017;01;10;Keskiviikko;7;13;20
623;04.01.2017;2017;01;11;Keskiviikko;4;3;7
623;04.01.2017;2017;01;12;Keskiviikko;6;11;17
623;04.01.2017;2017;01;13;Keskiviikko;5;10;15
