MittausID;Pvm;Vuosi;Kuukausi;Tunti;Viikonpäivä;PP_1;PP_2;PP_YHT;JK_1;JK_2;JK_YHT
352;14.12.2015;2015;12;00;Maanantai;0;0;0;0;0;0
352;14.12.2015;2015;12;01;Maanantai;0;0;0;0;0;0
352;14.12.2015;2015;12;02;Maanantai;0;0;0;0;0;0
352;14.12.2015;2015;12;03;Maanantai;0;0;0;0;0;0
352;14.12.2015;2015;12;04;Maanantai;0;0;0;0;0;0
352;14.12.2015;2015;12;05;Maanantai;0;0;0;0;0;0
352;14.12.2015;2015;12;06;Maanantai;0;0;0;0;0;0
352;14.12.2015;2015;12;07;Maanantai;0;0;0;0;0;0
352;14.12.2015;2015;12;08;Maanantai;0;0;0;0;0;0
352;14.12.2015;2015;12;09;Maanantai;46;57;103;0;0;0
352;14.12.2015;2015;12;10;Maanantai;19;28;47;0;0;0
352;14.12.2015;2015;12;11;Maanantai;8;7;15;0;0;0
352;14.12.2015;2015;12;12;Maanantai;17;11;28;0;0;0
352;14.12.2015;2015;12;13;Maanantai;1;2;3;0;0;0
352;14.12.2015;2015;12;14;Maanantai;4;3;7;0;0;0
352;14.12.2015;2015;12;15;Maanantai;0;0;0;0;0;0
352;14.12.2015;2015;12;16;Maanantai;2;0;2;0;0;0
352;14.12.2015;2015;12;17;Maanantai;0;0;0;0;0;0
352;14.12.2015;2015;12;18;Maanantai;2;2;4;0;0;0
352;14.12.2015;2015;12;19;Maanantai;3;2;5;0;0;0
352;14.12.2015;2015;12;20;Maanantai;2;0;2;0;0;0
352;14.12.2015;2015;12;21;Maanantai;0;3;3;0;0;0
352;14.12.2015;2015;12;22;Maanantai;0;0;0;0;0;0
352;14.12.2015;2015;12;23;Maanantai;1;0;1;0;0;0
352;15.12.2015;2015;12;00;Tiistai;0;0;0;0;0;0
352;15.12.2015;2015;12;01;Tiistai;0;0;0;0;0;0
352;15.12.2015;2015;12;02;Tiistai;0;0;0;0;0;0
352;15.12.2015;2015;12;03;Tiistai;0;0;0;0;0;0
352;15.12.2015;2015;12;04;Tiistai;0;0;0;0;0;0
352;15.12.2015;2015;12;05;Tiistai;0;0;0;0;0;0
352;15.12.2015;2015;12;06;Tiistai;0;0;0;0;0;0
352;15.12.2015;2015;12;07;Tiistai;0;0;0;0;0;0
352;15.12.2015;2015;12;08;Tiistai;0;0;0;0;0;0
352;15.12.2015;2015;12;09;Tiistai;2;0;2;0;0;0
352;15.12.2015;2015;12;10;Tiistai;5;3;8;0;0;0
352;15.12.2015;2015;12;11;Tiistai;3;4;7;0;0;0
352;15.12.2015;2015;12;12;Tiistai;3;2;5;0;0;0
352;15.12.2015;2015;12;13;Tiistai;1;3;4;0;0;0
352;15.12.2015;2015;12;14;Tiistai;2;0;2;0;0;0
352;15.12.2015;2015;12;15;Tiistai;0;1;1;0;0;0
352;15.12.2015;2015;12;16;Tiistai;0;0;0;0;0;0
352;15.12.2015;2015;12;17;Tiistai;0;0;0;0;0;0
352;15.12.2015;2015;12;18;Tiistai;1;1;2;0;0;0
352;15.12.2015;2015;12;19;Tiistai;1;1;2;0;0;0
352;15.12.2015;2015;12;20;Tiistai;0;2;2;0;0;0
352;15.12.2015;2015;12;21;Tiistai;2;3;5;0;0;0
352;15.12.2015;2015;12;22;Tiistai;0;0;0;0;0;0
352;15.12.2015;2015;12;23;Tiistai;0;0;0;0;0;0
352;16.12.2015;2015;12;00;Keskiviikko;0;0;0;0;0;0
352;16.12.2015;2015;12;01;Keskiviikko;0;0;0;0;0;0
352;16.12.2015;2015;12;02;Keskiviikko;0;0;0;0;0;0
352;16.12.2015;2015;12;03;Keskiviikko;0;0;0;0;0;0
352;16.12.2015;2015;12;04;Keskiviikko;0;0;0;0;0;0
352;16.12.2015;2015;12;05;Keskiviikko;0;0;0;0;0;0
352;16.12.2015;2015;12;06;Keskiviikko;0;0;0;0;0;0
352;16.12.2015;2015;12;07;Keskiviikko;0;0;0;0;0;0
352;16.12.2015;2015;12;08;Keskiviikko;0;0;0;0;0;0
352;16.12.2015;2015;12;09;Keskiviikko;3;0;3;0;0;0
352;16.12.2015;2015;12;10;Keskiviikko;5;5;10;0;0;0
352;16.12.2015;2015;12;11;Keskiviikko;10;8;18;0;0;0
352;16.12.2015;2015;12;12;Keskiviikko;5;6;11;0;0;0
352;16.12.2015;2015;12;13;Keskiviikko;5;7;12;0;0;0
352;16.12.2015;2015;12;14;Keskiviikko;1;2;3;0;0;0
352;16.12.2015;2015;12;15;Keskiviikko;3;1;4;0;0;0
352;16.12.2015;2015;12;16;Keskiviikko;1;1;2;0;0;0
352;16.12.2015;2015;12;17;Keskiviikko;2;1;3;0;0;0
352;16.12.2015;2015;12;18;Keskiviikko;1;1;2;0;0;0
352;16.12.2015;2015;12;19;Keskiviikko;7;7;14;0;0;0
352;16.12.2015;2015;12;20;Keskiviikko;5;2;7;0;0;0
352;16.12.2015;2015;12;21;Keskiviikko;0;0;0;0;0;0
352;16.12.2015;2015;12;22;Keskiviikko;3;2;5;0;0;0
352;16.12.2015;2015;12;23;Keskiviikko;0;3;3;0;0;0
352;17.12.2015;2015;12;00;Torstai;0;0;0;0;0;0
352;17.12.2015;2015;12;01;Torstai;0;0;0;0;0;0
352;17.12.2015;2015;12;02;Torstai;0;0;0;0;0;0
352;17.12.2015;2015;12;03;Torstai;0;0;0;0;0;0
352;17.12.2015;2015;12;04;Torstai;0;0;0;0;0;0
352;17.12.2015;2015;12;05;Torstai;0;0;0;0;0;0
352;17.12.2015;2015;12;06;Torstai;0;0;0;0;0;0
352;17.12.2015;2015;12;07;Torstai;0;0;0;0;0;0
352;17.12.2015;2015;12;08;Torstai;0;0;0;0;0;0
352;17.12.2015;2015;12;09;Torstai;1;0;1;0;0;0
352;17.12.2015;2015;12;10;Torstai;1;4;5;0;0;0
352;17.12.2015;2015;12;11;Torstai;3;4;7;0;0;0
352;17.12.2015;2015;12;12;Torstai;6;4;10;0;0;0
352;17.12.2015;2015;12;13;Torstai;0;3;3;0;0;0
352;17.12.2015;2015;12;14;Torstai;1;0;1;0;0;0
352;17.12.2015;2015;12;15;Torstai;1;1;2;0;0;0
352;17.12.2015;2015;12;16;Torstai;2;2;4;0;0;0
352;17.12.2015;2015;12;17;Torstai;0;0;0;0;0;0
352;17.12.2015;2015;12;18;Torstai;0;1;1;0;0;0
