MittausID;Pvm;Vuosi;Kuukausi;Tunti;Viikonpäivä;PP_1;PP_2;PP_YHT;JK_1;JK_2;JK_YHT
293;02.11.2015;2015;11;00;Maanantai;0;0;0;0;0;0
293;02.11.2015;2015;11;01;Maanantai;0;0;0;0;0;0
293;02.11.2015;2015;11;02;Maanantai;0;0;0;0;0;0
293;02.11.2015;2015;11;03;Maanantai;0;0;0;0;0;0
293;02.11.2015;2015;11;04;Maanantai;0;0;0;0;0;0
293;02.11.2015;2015;11;05;Maanantai;4;1;5;0;0;0
293;02.11.2015;2015;11;06;Maanantai;11;2;13;1;0;1
293;02.11.2015;2015;11;07;Maanantai;65;8;73;10;0;10
293;02.11.2015;2015;11;08;Maanantai;93;14;107;8;3;11
293;02.11.2015;2015;11;09;Maanantai;61;6;67;2;1;3
293;02.11.2015;2015;11;10;Maanantai;24;12;36;5;8;13
293;02.11.2015;2015;11;11;Maanantai;17;14;31;7;4;11
293;02.11.2015;2015;11;12;Maanantai;19;20;39;3;3;6
293;02.11.2015;2015;11;13;Maanantai;13;43;56;4;9;13
293;02.11.2015;2015;11;14;Maanantai;14;83;97;4;12;16
293;02.11.2015;2015;11;15;Maanantai;18;86;104;3;8;11
293;02.11.2015;2015;11;16;Maanantai;24;20;44;6;8;14
293;02.11.2015;2015;11;17;Maanantai;13;17;30;6;5;11
293;02.11.2015;2015;11;18;Maanantai;7;14;21;10;8;18
293;02.11.2015;2015;11;19;Maanantai;11;16;27;2;9;11
293;02.11.2015;2015;11;20;Maanantai;1;8;9;3;4;7
293;02.11.2015;2015;11;21;Maanantai;1;7;8;1;0;1
293;02.11.2015;2015;11;22;Maanantai;0;1;1;1;0;1
293;02.11.2015;2015;11;23;Maanantai;0;0;0;0;0;0
293;03.11.2015;2015;11;00;Tiistai;0;0;0;0;1;1
293;03.11.2015;2015;11;01;Tiistai;1;0;1;0;0;0
293;03.11.2015;2015;11;02;Tiistai;0;0;0;0;0;0
293;03.11.2015;2015;11;03;Tiistai;0;0;0;0;0;0
293;03.11.2015;2015;11;04;Tiistai;1;0;1;0;0;0
293;03.11.2015;2015;11;05;Tiistai;5;3;8;0;0;0
293;03.11.2015;2015;11;06;Tiistai;12;2;14;2;0;2
293;03.11.2015;2015;11;07;Tiistai;99;8;107;6;1;7
293;03.11.2015;2015;11;08;Tiistai;62;2;64;6;3;9
293;03.11.2015;2015;11;09;Tiistai;36;6;42;5;3;8
293;03.11.2015;2015;11;10;Tiistai;29;9;38;2;3;5
293;03.11.2015;2015;11;11;Tiistai;13;16;29;4;3;7
293;03.11.2015;2015;11;12;Tiistai;15;15;30;10;5;15
293;03.11.2015;2015;11;13;Tiistai;10;37;47;4;6;10
293;03.11.2015;2015;11;14;Tiistai;26;95;121;9;5;14
293;03.11.2015;2015;11;15;Tiistai;17;95;112;3;12;15
293;03.11.2015;2015;11;16;Tiistai;28;27;55;3;3;6
293;03.11.2015;2015;11;17;Tiistai;16;14;30;6;5;11
293;03.11.2015;2015;11;18;Tiistai;18;17;35;6;9;15
293;03.11.2015;2015;11;19;Tiistai;8;21;29;5;10;15
293;03.11.2015;2015;11;20;Tiistai;2;19;21;3;7;10
293;03.11.2015;2015;11;21;Tiistai;0;5;5;0;2;2
293;03.11.2015;2015;11;22;Tiistai;2;2;4;0;0;0
293;03.11.2015;2015;11;23;Tiistai;0;0;0;0;0;0
293;04.11.2015;2015;11;00;Keskiviikko;0;0;0;0;0;0
293;04.11.2015;2015;11;01;Keskiviikko;0;0;0;0;0;0
293;04.11.2015;2015;11;02;Keskiviikko;0;0;0;0;0;0
293;04.11.2015;2015;11;03;Keskiviikko;0;0;0;0;0;0
293;04.11.2015;2015;11;04;Keskiviikko;0;0;0;0;0;0
293;04.11.2015;2015;11;05;Keskiviikko;5;1;6;0;0;0
293;04.11.2015;2015;11;06;Keskiviikko;7;1;8;5;1;6
293;04.11.2015;2015;11;07;Keskiviikko;116;7;123;6;1;7
293;04.11.2015;2015;11;08;Keskiviikko;64;7;71;4;2;6
293;04.11.2015;2015;11;09;Keskiviikko;32;11;43;4;2;6
293;04.11.2015;2015;11;10;Keskiviikko;22;10;32;1;1;2
293;04.11.2015;2015;11;11;Keskiviikko;14;13;27;5;3;8
293;04.11.2015;2015;11;12;Keskiviikko;11;24;35;4;8;12
293;04.11.2015;2015;11;13;Keskiviikko;9;27;36;7;5;12
